install_condition: 1 = trenched; 2 = bored; 3 = attached,,,
ch_index,install_condition,easting,northing
559,1,627092,4272302
560,1,627091,4272303
561,1,627089,4272304
562,1,627087,4272305
563,1,627086,4272306
564,1,627084,4272308
565,1,627082,4272309
566,1,627080,4272310
567,1,627079,4272311
568,1,627077,4272312
569,1,627075,4272313
570,1,627074,4272314
571,1,627072,4272315
572,1,627070,4272316
573,1,627068,4272317
574,1,627067,4272318
575,1,627065,4272319
576,1,627063,4272320
577,1,627061,4272321
578,1,627060,4272322
579,1,627058,4272323
580,1,627056,4272324
581,1,627055,4272325
582,1,627053,4272326
583,1,627051,4272327
584,1,627049,4272328
585,1,627048,4272329
586,1,627046,4272330
587,1,627044,4272331
588,1,627043,4272332
589,1,627041,4272333
590,1,627039,4272334
591,1,627037,4272335
592,1,627036,4272336
593,1,627034,4272337
594,1,627032,4272338
595,1,627031,4272339
596,1,627029,4272340
597,1,627027,4272341
598,1,627026,4272342
599,1,627024,4272344
600,1,627022,4272345
601,1,627020,4272346
602,1,627019,4272347
603,1,627017,4272348
604,1,627015,4272349
605,1,627014,4272350
606,1,627012,4272351
607,1,627010,4272352
608,1,627009,4272353
609,1,627007,4272354
610,1,627005,4272355
611,1,627004,4272357
612,1,627002,4272358
613,1,627000,4272359
614,1,626999,4272360
615,1,626997,4272361
616,1,626995,4272362
617,1,626994,4272363
618,1,626992,4272364
619,1,626990,4272365
620,1,626989,4272366
621,1,626987,4272367
622,1,626985,4272369
623,1,626984,4272370
624,1,626982,4272371
625,1,626980,4272372
626,1,626978,4272373
627,1,626977,4272374
628,1,626975,4272375
629,1,626973,4272376
630,1,626972,4272377
631,1,626970,4272378
632,1,626968,4272379
633,1,626967,4272380
634,1,626965,4272382
635,1,626963,4272383
636,1,626962,4272384
637,1,626960,4272385
638,1,626958,4272386
639,1,626957,4272387
640,1,626955,4272388
641,1,626953,4272389
642,1,626952,4272390
643,1,626950,4272392
644,1,626948,4272393
645,1,626947,4272394
646,1,626945,4272395
647,1,626944,4272396
648,1,626942,4272397
649,1,626940,4272399
650,1,626939,4272400
651,1,626937,4272401
652,1,626936,4272402
653,1,626934,4272403
654,1,626932,4272404
655,1,626931,4272406
656,1,626929,4272407
657,1,626927,4272408
658,1,626926,4272409
659,1,626924,4272410
660,1,626923,4272411
661,1,626921,4272413
662,2,626919,4272414
663,2,626918,4272415
664,2,626916,4272416
665,2,626914,4272417
666,2,626913,4272419
667,2,626911,4272420
668,2,626910,4272421
669,2,626908,4272422
670,2,626906,4272423
671,2,626905,4272424
672,2,626903,4272426
673,2,626901,4272427
674,2,626900,4272428
675,2,626898,4272429
676,2,626897,4272430
677,2,626895,4272431
678,2,626893,4272433
679,2,626892,4272434
680,2,626890,4272435
681,2,626889,4272436
682,2,626887,4272437
683,2,626885,4272438
684,2,626884,4272440
685,2,626882,4272441
686,2,626880,4272442
687,2,626879,4272443
688,2,626877,4272444
689,2,626876,4272445
690,2,626874,4272447
691,2,626872,4272448
692,2,626871,4272449
693,2,626869,4272450
694,2,626867,4272451
695,2,626866,4272453
696,2,626864,4272454
697,2,626863,4272455
698,2,626861,4272456
699,1,626859,4272457
700,1,626858,4272458
701,1,626856,4272460
702,1,626855,4272461
703,1,626853,4272462
704,1,626851,4272463
705,1,626850,4272464
706,1,626848,4272466
707,1,626847,4272467
708,1,626845,4272468
709,1,626844,4272470
710,1,626842,4272471
711,1,626841,4272472
712,1,626839,4272474
713,1,626838,4272475
714,1,626836,4272476
715,1,626835,4272478
716,1,626833,4272479
717,1,626832,4272480
718,1,626831,4272482
719,1,626829,4272483
720,1,626828,4272485
721,1,626826,4272486
722,1,626825,4272487
723,1,626823,4272489
724,1,626822,4272490
725,1,626820,4272491
726,1,626819,4272493
727,1,626817,4272494
728,1,626816,4272495
729,1,626814,4272497
730,1,626813,4272498
731,1,626811,4272499
732,1,626810,4272501
733,1,626808,4272502
734,1,626807,4272503
735,1,626805,4272505
736,1,626804,4272506
737,1,626802,4272508
738,1,626801,4272509
739,1,626800,4272510
740,1,626798,4272512
741,1,626797,4272513
742,1,626795,4272514
743,1,626794,4272516
744,1,626792,4272517
745,1,626791,4272518
746,1,626789,4272520
747,1,626788,4272521
748,1,626786,4272522
749,1,626785,4272524
750,1,626783,4272525
751,1,626782,4272526
752,1,626780,4272528
753,1,626779,4272529
754,1,626777,4272530
755,1,626776,4272532
756,1,626774,4272533
757,1,626773,4272535
758,1,626772,4272536
759,1,626770,4272537
760,1,626769,4272539
761,1,626767,4272540
762,1,626766,4272541
763,1,626764,4272543
764,1,626763,4272544
765,1,626761,4272545
766,1,626760,4272547
767,1,626758,4272548
768,1,626757,4272549
769,1,626755,4272551
770,1,626754,4272552
771,1,626752,4272553
772,1,626751,4272555
773,1,626749,4272556
774,1,626748,4272557
775,1,626746,4272559
776,1,626745,4272560
777,1,626743,4272562
778,1,626742,4272563
779,1,626741,4272564
780,1,626739,4272566
781,1,626738,4272567
782,1,626736,4272568
783,1,626735,4272570
784,1,626733,4272571
785,1,626732,4272572
786,1,626730,4272574
787,1,626729,4272575
788,1,626727,4272576
789,1,626726,4272578
790,1,626724,4272579
791,1,626723,4272580
792,1,626721,4272582
793,1,626720,4272583
794,1,626718,4272584
795,1,626717,4272586
796,1,626715,4272587
797,1,626714,4272589
798,1,626713,4272590
799,1,626711,4272591
800,1,626710,4272593
801,1,626708,4272594
802,1,626707,4272595
803,1,626705,4272597
804,1,626704,4272598
805,1,626702,4272599
806,1,626701,4272601
807,1,626699,4272602
808,1,626698,4272603
809,1,626696,4272605
810,1,626695,4272606
811,1,626693,4272607
812,1,626692,4272609
813,1,626690,4272610
814,1,626689,4272612
815,1,626687,4272613
816,1,626686,4272614
817,1,626684,4272616
818,1,626683,4272617
819,1,626683,4272619
820,1,626682,4272621
821,1,626681,4272623
822,1,626680,4272624
823,1,626679,4272626
824,1,626678,4272628
825,1,626677,4272630
826,1,626677,4272632
827,1,626676,4272633
828,1,626675,4272635
829,1,626674,4272637
830,1,626673,4272639
831,1,626671,4272640
832,1,626670,4272642
833,1,626669,4272644
834,1,626668,4272645
835,1,626667,4272647
836,1,626666,4272649
837,1,626665,4272650
838,1,626664,4272652
839,1,626663,4272654
840,1,626662,4272655
841,1,626660,4272657
842,1,626659,4272658
843,1,626657,4272660
844,1,626656,4272661
845,1,626654,4272662
846,1,626653,4272664
847,1,626652,4272665
848,1,626650,4272666
849,1,626649,4272668
850,1,626647,4272669
851,1,626646,4272671
852,1,626644,4272672
853,1,626643,4272673
854,1,626641,4272675
855,1,626640,4272676
856,1,626639,4272678
857,2,626637,4272679
858,2,626636,4272680
859,2,626634,4272682
860,2,626633,4272683
861,2,626631,4272684
862,2,626630,4272686
863,2,626628,4272687
864,2,626627,4272689
865,2,626626,4272690
866,2,626624,4272691
867,2,626623,4272693
868,2,626621,4272694
869,2,626620,4272696
870,2,626618,4272697
871,2,626617,4272698
872,2,626615,4272700
873,2,626614,4272701
874,2,626613,4272702
875,2,626611,4272704
876,2,626610,4272705
877,2,626608,4272707
878,2,626607,4272708
879,2,626605,4272709
880,2,626604,4272711
881,2,626603,4272712
882,2,626601,4272714
883,2,626600,4272715
884,2,626598,4272716
885,2,626597,4272718
886,2,626595,4272719
887,2,626594,4272720
888,2,626592,4272722
889,2,626591,4272723
890,2,626590,4272725
891,2,626588,4272726
892,2,626587,4272727
893,2,626585,4272729
894,2,626584,4272730
895,2,626582,4272732
896,2,626581,4272733
897,2,626579,4272734
898,2,626578,4272736
899,2,626577,4272737
900,2,626575,4272738
901,2,626574,4272740
902,2,626572,4272741
903,2,626571,4272743
904,2,626569,4272744
905,2,626568,4272745
906,2,626566,4272747
907,2,626565,4272748
908,2,626564,4272750
909,2,626562,4272751
910,2,626561,4272752
911,2,626559,4272754
912,2,626558,4272755
913,2,626556,4272756
914,2,626555,4272758
915,2,626553,4272759
916,2,626552,4272761
917,2,626551,4272762
918,2,626549,4272763
919,2,626548,4272765
920,2,626546,4272766
921,2,626545,4272768
922,2,626543,4272769
923,2,626542,4272770
924,2,626540,4272772
925,2,626539,4272773
926,2,626538,4272775
927,2,626536,4272776
928,2,626535,4272777
929,2,626535,4272779
930,2,626534,4272781
931,2,626534,4272783
932,2,626533,4272785
933,2,626533,4272787
934,2,626533,4272789
935,2,626532,4272791
936,2,626532,4272793
937,2,626531,4272795
938,2,626531,4272797
939,2,626531,4272799
940,2,626530,4272801
941,2,626530,4272803
942,2,626529,4272805
943,2,626529,4272807
944,2,626529,4272809
945,2,626528,4272811
946,2,626528,4272813
947,2,626527,4272815
948,2,626527,4272817
949,2,626527,4272819
950,2,626526,4272820
951,1,626525,4272822
952,1,626524,4272824
953,1,626522,4272825
954,1,626521,4272826
955,1,626519,4272828
956,1,626518,4272829
957,1,626517,4272831
958,1,626515,4272832
959,1,626514,4272834
960,1,626512,4272835
961,1,626511,4272836
962,1,626510,4272838
963,1,626508,4272839
964,1,626507,4272841
965,1,626506,4272842
966,1,626504,4272844
967,1,626503,4272845
968,1,626501,4272847
969,1,626500,4272848
970,1,626499,4272849
971,1,626497,4272851
972,1,626496,4272852
973,1,626494,4272854
974,1,626493,4272855
975,1,626492,4272857
976,1,626490,4272858
977,1,626489,4272859
978,1,626487,4272861
979,1,626486,4272862
980,1,626485,4272864
981,1,626483,4272865
982,1,626482,4272867
983,1,626481,4272868
984,1,626479,4272870
985,1,626478,4272871
986,1,626476,4272872
987,1,626475,4272874
988,1,626474,4272875
989,1,626472,4272877
990,1,626471,4272878
991,1,626469,4272880
992,1,626468,4272881
993,1,626467,4272882
994,1,626465,4272884
995,1,626464,4272885
996,1,626462,4272887
997,1,626461,4272888
998,1,626460,4272890
999,1,626458,4272891
1000,1,626457,4272893
1001,1,626455,4272894
1002,1,626454,4272895
1003,1,626453,4272897
1004,1,626451,4272898
1005,1,626450,4272900
1006,1,626449,4272901
1007,1,626447,4272903
1008,1,626446,4272904
1009,1,626444,4272906
1010,1,626443,4272907
1011,1,626442,4272908
1012,1,626440,4272910
1013,1,626439,4272911
1014,1,626438,4272913
1015,1,626436,4272914
1016,1,626435,4272916
1017,1,626434,4272917
1018,1,626432,4272919
1019,1,626431,4272920
1020,1,626430,4272922
1021,1,626428,4272923
1022,1,626427,4272925
1023,1,626426,4272926
1024,1,626424,4272928
1025,1,626423,4272929
1026,1,626422,4272931
1027,1,626420,4272932
1028,1,626419,4272934
1029,1,626418,4272935
1030,1,626416,4272937
1031,1,626415,4272938
1032,1,626414,4272940
1033,1,626412,4272941
1034,1,626411,4272943
1035,1,626410,4272944
1036,1,626408,4272946
1037,1,626407,4272947
1038,1,626406,4272949
1039,1,626404,4272950
1040,1,626403,4272952
1041,1,626402,4272953
1042,1,626400,4272955
1043,1,626399,4272956
1044,1,626398,4272958
1045,1,626396,4272959
1046,1,626395,4272960
1047,1,626394,4272962
1048,1,626392,4272963
1049,1,626391,4272965
1050,1,626390,4272966
1051,1,626388,4272968
1052,1,626387,4272969
1053,1,626386,4272971
1054,1,626384,4272972
1055,1,626383,4272974
1056,1,626382,4272975
1057,1,626380,4272977
1058,1,626379,4272978
1059,1,626378,4272980
1060,1,626376,4272981
1061,1,626375,4272983
1062,1,626374,4272984
1063,1,626372,4272986
1064,1,626371,4272987
1065,1,626370,4272989
1066,1,626368,4272990
1067,1,626367,4272992
1068,1,626366,4272993
1069,1,626364,4272995
1070,1,626363,4272996
1071,1,626362,4272998
1072,1,626360,4272999
1073,1,626359,4273001
1074,1,626358,4273002
1075,1,626356,4273004
1076,1,626355,4273005
1077,1,626354,4273007
1078,1,626352,4273008
1079,1,626351,4273010
1080,1,626349,4273011
1081,1,626348,4273013
1082,1,626347,4273014
1083,1,626345,4273016
1084,1,626344,4273017
1085,1,626343,4273019
1086,1,626341,4273020
1087,1,626340,4273022
1088,2,626339,4273023
1089,1,626337,4273025
1090,1,626336,4273026
1091,1,626335,4273028
1092,1,626333,4273029
1093,1,626332,4273031
1094,1,626331,4273032
1095,1,626329,4273033
1096,1,626328,4273035
1097,1,626327,4273036
1098,1,626325,4273038
1099,1,626324,4273039
1100,1,626323,4273041
1101,1,626321,4273042
1102,1,626320,4273044
1103,1,626319,4273045
1104,1,626317,4273047
1105,1,626316,4273048
1106,1,626315,4273050
1107,1,626313,4273051
1108,1,626312,4273053
1109,1,626311,4273054
1110,1,626309,4273056
1111,1,626308,4273057
1112,1,626306,4273058
1113,1,626305,4273060
1114,1,626303,4273061
1115,1,626302,4273062
1116,1,626301,4273064
1117,1,626299,4273065
1118,1,626298,4273067
1119,1,626296,4273068
1120,1,626295,4273069
1121,1,626293,4273071
1122,1,626292,4273072
1123,1,626290,4273073
1124,1,626289,4273075
1125,1,626287,4273076
1126,1,626286,4273078
1127,1,626285,4273079
1128,1,626283,4273080
1129,1,626282,4273082
1130,1,626280,4273083
1131,1,626279,4273085
1132,1,626277,4273086
1133,1,626276,4273087
1134,1,626274,4273089
1135,1,626273,4273090
1136,1,626271,4273091
1137,1,626270,4273093
1138,1,626269,4273094
1139,1,626267,4273096
1140,1,626266,4273097
1141,1,626264,4273098
1142,1,626263,4273100
1143,1,626261,4273101
1144,1,626260,4273102
1145,1,626258,4273104
1146,1,626257,4273105
1147,1,626256,4273107
1148,1,626254,4273108
1149,1,626253,4273110
1150,1,626252,4273111
1151,1,626250,4273113
1152,1,626249,4273114
1153,1,626248,4273116
1154,1,626247,4273117
1155,1,626245,4273119
1156,1,626244,4273120
1157,1,626243,4273122
1158,1,626242,4273124
1159,1,626240,4273125
1160,1,626239,4273127
1161,1,626238,4273128
1162,1,626237,4273130
1163,1,626235,4273131
1164,1,626234,4273133
1165,1,626233,4273135
1166,1,626232,4273136
1167,1,626230,4273138
1168,1,626229,4273139
1169,1,626228,4273141
1170,1,626227,4273142
1171,1,626225,4273144
1172,1,626224,4273145
1173,1,626223,4273147
1174,1,626222,4273149
1175,1,626220,4273150
1176,1,626219,4273152
1177,1,626218,4273153
1178,1,626217,4273155
1179,1,626215,4273156
1180,1,626214,4273158
1181,1,626213,4273160
1182,1,626212,4273161
1183,1,626210,4273163
1184,1,626209,4273164
1185,1,626208,4273166
1186,2,626207,4273167
1187,1,626205,4273169
1188,1,626204,4273170
1189,1,626203,4273172
1190,1,626202,4273174
1191,1,626200,4273175
1192,1,626199,4273177
1193,1,626198,4273178
1194,1,626197,4273180
1195,1,626195,4273181
