,ch,long,lat
238,239,-122.17216541656553,37.42865495583176
239,240,-122.17209320675856,37.42863840600856
240,241,-122.17207238750213,37.428681525118186
241,242,-122.17205156822142,37.42872464422357
242,243,-122.17203074891643,37.428767763324664
243,244,-122.17200992958716,37.42881088242151
244,245,-122.17198911023361,37.42885400151407
245,246,-122.17201573857463,37.428780524991645
246,247,-122.17204236686237,37.428707048461675
247,248,-122.17206899509681,37.42863357192417
248,249,-122.17209562327795,37.42856009537916
249,250,-122.1721222514058,37.428486618826604
250,251,-122.17214887948035,37.42841314226651
251,252,-122.17217550750158,37.42833966569889
252,253,-122.17220213546953,37.42826618912374
253,254,-122.17222876338418,37.42819271254107
254,255,-122.17225539124553,37.42811923595087
255,256,-122.17228201905358,37.428045759353125
256,257,-122.17230864680833,37.42797228274786
257,258,-122.1723352745098,37.42789880613506
258,259,-122.17236190215796,37.42782532951473
259,260,-122.17238852975284,37.42775185288688
260,261,-122.17241515729442,37.42767837625151
261,262,-122.1724387326422,37.42759275504326
262,263,-122.17246230793454,37.427507133828456
263,264,-122.17248588317142,37.427421512607054
264,265,-122.17250945835285,37.427335891379094
265,266,-122.1725330334788,37.42725027014454
266,267,-122.17255660854933,37.42716464890342
267,268,-122.17258018356438,37.427079027655736
268,269,-122.17260375852399,37.42699340640146
269,270,-122.17267540208255,37.42695960236598
270,271,-122.17274704557722,37.42692579828611
271,272,-122.17281868900797,37.426891994161856
272,273,-122.17289033237485,37.42685818999322
273,274,-122.17296197567781,37.42682438578017
274,275,-122.17298698513993,37.42675985866108
275,276,-122.1730119945592,37.42669533144533
276,277,-122.17303700393356,37.42663080431323
277,278,-122.17306201326406,37.426566277174615
278,279,-122.17308702255168,37.42650174993937
279,280,-122.17311203179443,37.42643722278773
280,281,-122.1730114112843,37.4263373700224
281,282,-122.17291079104061,37.42623751717292
282,283,-122.1728101710633,37.426137664239334
283,284,-122.1728101710633,37.426137664239334
284,285,-122.1728101710633,37.426137664239334
285,286,-122.1728101710633,37.426137664239334
286,287,-122.1728101710633,37.426137664239334
287,288,-122.1728101710633,37.426137664239334
288,289,-122.17289000594536,37.42615729290741
289,290,-122.17296984086906,37.42617692161214
290,291,-122.17304967583635,37.42619655017325
291,292,-122.17312951085654,37.426216178771064
292,293,-122.17320934590903,37.4262358072252
293,294,-122.17328918100317,37.426255435715966
294,295,-122.17336901614088,37.42627506406312
295,296,-122.17344885132121,37.42629469235678
296,297,-122.17352868654318,37.426314320687084
297,298,-122.17360852180872,37.42633394887376
298,299,-122.17368835712719,37.42635357709717
299,300,-122.17376819247795,37.42637320517689
